company,state,ticker,exchange,profit_MUSD,debt_MUSD,assets_MUSD,ipo_date,ipo_fees_MUSD,ipo_price_USDshare,ipo_amount_MUSD,industry,is_synthetic
Fox Factory Holding Corp,Georgia,FOXF,Nasdaq,0.0,2.2,88.0,2013-08-08,15.02,15.0,128.571,Retail,1
Diamondback Energy Inc.,Texas,FANG,Nasdaq,15.9,3595.1,3611.0,2012-10-12,5.95,17.5,218.75,Oil,1
Restoration Robotics Inc.,California,HAIR,Nasdaq,0.0,0.0,253.9,2017-10-12,9.1,7.0,25.025,Health,1
Amc Entertainment Holdings Inc.,Kansas,AMC,New York,4.6,75.5,83.9,2013-12-18,8.5,18.0,331.579,Retail,1
Instructure Inc.,Utah,INST,New York,84.1,0.4,148.7,2015-11-13,13.9,16.0,70.4,IT,1
Container Store Group Inc.,Texas,TCS,New York,54.5,74.9,512.9,2013-11-01,10.13,18.0,225.0,Retail,1
Caesarstone Ltd,North Carolina,CSTE,Nasdaq,-19.5,4.7,143.3,2012-03-22,16.46,11.0,73.26,Chemical,1
American Realty Capital Trust Inc.,Pennsylvania,ARCT,Nasdaq,0.0,0.1,779.0,2012-03-01,8.32,6.0,39.6,Finance,1
Materialise Nv,Wisconsin,MTLS,Nasdaq,2.6,0.0,446.6,2014-06-25,8.01,12.0,96.0,IT,1
Trinseo SA,Pennsylvania,TSE,New York,80.5,2.8,174.8,2014-06-12,7.34,19.0,190.0,Retail,1
Pra Health Sciences Inc.,North Carolina,PRAH,Nasdaq,0.0,0.0,2560.8,2014-11-13,13.31,18.0,305.581,Health,1
Schneider National Inc.,Wisconsin,SNDR,New York,-3.8,128.1,131.9,2017-04-06,11.06,19.0,549.993,Machinery,1
Bellerophon Therapeutics Inc.,New Jersey,BLPH,Nasdaq,481.2,1574.5,2055.7,2015-02-13,11.19,12.0,60.0,Health,1
Midland States Bancorp Inc.,Illinois,MSBI,Nasdaq,0.0,0.0,53.4,2016-05-24,6.97,22.0,80.053,Finance,1
Altair Engineering Inc.,Michigan,ALTR,Nasdaq,13.8,0.1,217.0,2017-11-01,9.34,13.0,156.0,IT,1
Premier Inc.,North Carolina,PINC,Nasdaq,0.0,21.9,145.4,2013-09-26,1.23,27.0,760.103,IT,1
Realogy Holdings Corp,New Jersey,RLGY,New York,34.0,2848.4,2882.4,2012-10-11,9.61,27.0,1080.0,Finance,1
Audentes Therapeutics Inc.,California,BOLD,Nasdaq,0.0,2.9,12.7,2016-07-20,10.13,15.0,75.0,Health,1
Spirit Airlines Inc.,Florida,SAVE,Nasdaq,0.0,11.0,30.4,2011-05-26,13.72,12.0,187.2,Machinery,1
Resonant Inc.,California,RESN,Nasdaq,0.0,11.4,28.4,2014-05-29,6.71,6.0,16.2,IT,1
Solaris Oilfield Infrastructure Inc.,Texas,SOI,New York,0.0,4.3,244.2,2017-05-12,5.85,12.0,121.2,Oil,1
Affimed NV,Louisiana,AFMD,Nasdaq,5.5,0.0,128.5,2014-09-12,3.37,7.0,56.0,Health,1
Sunrun Inc.,California,RUN,Nasdaq,0.0,0.0,1.2,2015-08-05,10.5,14.0,250.6,IT,1
